MUNICIPIO,IDHM,IDHMR
São Caetano do SulSP,0.862,0.891
Águas de São PedroSP,0.854,0.849
FlorianópolisSC,0.847,0.87
Balneário CamboriúSC,0.845,0.854
VitóriaES,0.845,0.876
SantosSP,0.84,0.861
NiteróiRJ,0.837,0.887
JoaçabaSC,0.827,0.823
BrasíliaDF,0.824,0.863
CuritibaPR,0.823,0.85
JundiaíSP,0.822,0.834
ValinhosSP,0.819,0.848
VinhedoSP,0.817,0.84
Santo AndréSP,0.815,0.819
AraraquaraSP,0.815,0.788
Santana de ParnaíbaSP,0.814,0.876
Nova LimaMG,0.813,0.864
Ilha SolteiraSP,0.812,0.786
AmericanaSP,0.811,0.8
Belo HorizonteMG,0.81,0.841
São JoséSC,0.809,0.799
JoinvilleSC,0.809,0.795
MaringáPR,0.808,0.806
São José dos CamposSP,0.807,0.804
BlumenauSC,0.806,0.812
Presidente PrudenteSP,0.806,0.788
Rio FortunaSC,0.806,0.848
São PauloSP,0.805,0.843
AssisSP,0.805,0.771
CampinasSP,0.805,0.829
São Bernardo do CampoSP,0.805,0.807
Porto AlegreRS,0.805,0.867
São CarlosSP,0.805,0.788
Rio ClaroSP,0.803,0.784
Jaraguá do SulSC,0.803,0.793
Rio do SulSC,0.802,0.793
BauruSP,0.801,0.8
São Miguel do OesteSC,0.801,0.787
PirassunungaSP,0.801,0.789
ConcórdiaSC,0.8,0.777
Vila VelhaES,0.8,0.807
TaubatéSP,0.8,0.778
Ribeirão PretoSP,0.8,0.82
BotucatuSP,0.8,0.79
GoiâniaGO,0.799,0.824
Rio de JaneiroRJ,0.799,0.84
MaríliaSP,0.798,0.768
SorocabaSP,0.798,0.792
GuaratinguetáSP,0.798,0.764
São João da Boa VistaSP,0.797,0.776
São José do Rio PretoSP,0.797,0.801
FernandópolisSP,0.797,0.767
ItapemaSC,0.796,0.788
TubarãoSC,0.796,0.788
Carlos BarbosaRS,0.796,0.835
BrusqueSC,0.795,0.794
IomerêSC,0.795,0.754
PaulíniaSP,0.795,0.8
Treze TíliasSC,0.795,0.838
ItajaíSC,0.795,0.778
HolambraSP,0.793,0.815
Quatro PontesPR,0.791,0.79
Três ArroiosRS,0.791,0.843
Nova OdessaSP,0.791,0.755
Ipiranga do SulRS,0.791,0.818
SaltinhoSP,0.791,0.771
VotuporangaSP,0.79,0.772
Santa Cruz da ConceiçãoSP,0.79,0.83
AdamantinaSP,0.79,0.772
ChapecóSC,0.79,0.779
Cândido RodriguesSP,0.789,0.747
UberlândiaMG,0.789,0.776
BarretosSP,0.789,0.762
LuzernaSC,0.789,0.781
Lagoa dos Três CantosRS,0.789,0.765
AraçatubaSP,0.788,0.782
CruzeiroSP,0.788,0.742
MairiporãSP,0.788,0.767
Barra BonitaSP,0.788,0.762
CriciúmaSC,0.788,0.786
IndaiatubaSP,0.788,0.791
CaçapavaSP,0.788,0.754
Fernando de NoronhaPE,0.788,0.781
PalmasTO,0.788,0.789
ItajubáMG,0.787,0.767
Espírito Santo do PinhalSP,0.787,0.784
GaribaldiRS,0.786,0.825
PompéiaSP,0.786,0.75
Porto UniãoSC,0.786,0.752
LinsSP,0.786,0.762
BarueriSP,0.786,0.791
PiracicabaSP,0.785,0.797
AmparoSP,0.785,0.78
Nova AraçáRS,0.785,0.796
CuiabáMT,0.785,0.8
CatanduvaSP,0.785,0.767
CascaRS,0.785,0.778
TremembéSP,0.785,0.769
Monte AprazívelSP,0.785,0.781
Santa Fé do SulSP,0.784,0.763
Ribeirão PiresSP,0.784,0.749
IvotiRS,0.784,0.78
JaguariúnaSP,0.784,0.782
Santa MariaRS,0.784,0.795
Salto VelosoSC,0.784,0.778
ArujáSP,0.784,0.761
TimbóSC,0.784,0.807
Campo GrandeMS,0.784,0.79
Mogi MirimSP,0.784,0.767
HorizontinaRS,0.783,0.782
PinhalzinhoSC,0.783,0.758
Mogi das CruzesSP,0.783,0.762
CascavelPR,0.782,0.776
Caxias do SulRS,0.782,0.812
Pato BrancoPR,0.782,0.778
CerquilhoSP,0.782,0.758
LavrasMG,0.782,0.757
São Bento do SulSC,0.782,0.763
CaieirasSP,0.781,0.74
IjuíRS,0.781,0.786
Santo Amaro da ImperatrizSC,0.781,0.753
BombinhasSC,0.781,0.753
MaravilhaSC,0.781,0.758
Águas da PrataSP,0.781,0.75
LacerdópolisSC,0.781,0.763
Santa Bárbara D'OesteSP,0.781,0.752
ArarasSP,0.781,0.763
BebedouroSP,0.78,0.756
Cocal do SulSC,0.78,0.747
PomerodeSC,0.78,0.78
FrancaSP,0.78,0.749
Vista Alegre do PrataRS,0.78,0.809
Nova PetrópolisRS,0.78,0.775
BoituvaSP,0.78,0.757
Braço do TrombudoSC,0.78,0.766
OrlândiaSP,0.78,0.765
CorupáSC,0.78,0.768
CotiaSP,0.78,0.789
BiriguiSP,0.78,0.743
SaltoSP,0.78,0.755
Poços de CaldasMG,0.779,0.768
AndradinaSP,0.779,0.762
PiratiningaSP,0.779,0.762
SearaSC,0.779,0.804
Bento GonçalvesRS,0.778,0.805
VarginhaMG,0.778,0.76
Juiz de ForaMG,0.778,0.784
OurinhosSP,0.778,0.753
JaúSP,0.778,0.768
LondrinaPR,0.778,0.789
TietêSP,0.778,0.764
JaboticabalSP,0.778,0.778
ItatibaSP,0.778,0.788
LajeadoRS,0.778,0.796
Braço do NorteSC,0.778,0.746
Nova BrésciaRS,0.778,0.836
Victor GraeffRS,0.777,0.774
José BonifácioSP,0.777,0.752
SelbachRS,0.777,0.785
IndaialSC,0.777,0.767
LouveiraSP,0.777,0.783
MafraSC,0.777,0.738
JacareíSP,0.777,0.749
SarandiRS,0.777,0.776
Lagoa SantaMG,0.777,0.79
Pinheiro PretoSC,0.777,0.762
FarroupilhaRS,0.777,0.783
IracemápolisSP,0.776,0.742
Itaú de MinasMG,0.776,0.761
Bragança PaulistaSP,0.776,0.772
ErechimRS,0.776,0.782
Passo FundoRS,0.776,0.787
JalesSP,0.776,0.75
OsascoSP,0.776,0.776
Araçoiaba da SerraSP,0.776,0.751
PirapozinhoSP,0.776,0.74
DracenaSP,0.776,0.752
XanxerêSC,0.775,0.76
LimeiraSP,0.775,0.761
CeresGO,0.775,0.753
ItapirangaSC,0.775,0.766
ViçosaMG,0.775,0.758
Santa Rita do Passa QuatroSP,0.775,0.764
Trombudo CentralSC,0.775,0.76
OuroSC,0.774,0.774
TrevisoSC,0.774,0.737
MassarandubaSC,0.774,0.749
Mogi GuaçuSP,0.774,0.74
SiderópolisSC,0.774,0.751
MarauRS,0.774,0.773
Francisco BeltrãoPR,0.774,0.758
CruzáliaSP,0.774,0.698
Marechal Cândido RondonPR,0.774,0.782
Pouso AlegreMG,0.774,0.755
São José do Rio PardoSP,0.774,0.744
Pedrinhas PaulistaSP,0.774,0.749
ParaíRS,0.773,0.787
ItuSP,0.773,0.782
AuriflamaSP,0.773,0.746
AraguariMG,0.773,0.74
Serra AltaSC,0.773,0.758
Santana da Ponte PensaSP,0.773,0.751
Rio das OstrasRJ,0.773,0.784
PindamonhangabaSP,0.773,0.745
OlímpiaSP,0.773,0.737
VeranópolisRS,0.773,0.797
Santa Cruz do SulRS,0.773,0.782
MatãoSP,0.773,0.766
Sebastianópolis do SulSP,0.773,0.748
São SebastiãoSP,0.772,0.747
AratibaRS,0.772,0.801
UberabaMG,0.772,0.772
AraxáMG,0.772,0.756
Santo ÂngeloRS,0.772,0.765
RecifePE,0.772,0.798
Sales OliveiraSP,0.772,0.738
MonçõesSP,0.772,0.731
UrussangaSC,0.772,0.756
Santa SaleteSP,0.772,0.712
Lajeado GrandeSC,0.771,0.75
MaracaíSP,0.771,0.711
Volta RedondaRJ,0.771,0.763
ItáSC,0.771,0.747
PoáSP,0.771,0.71
IpatingaMG,0.771,0.752
TupãSP,0.771,0.764
OuroesteSP,0.77,0.717
LagesSC,0.77,0.755
Montes ClarosMG,0.77,0.707
AracajuSE,0.77,0.784
Santa Rosa de ViterboSP,0.77,0.746
MacatubaSP,0.77,0.763
ArmazémSC,0.77,0.743
OrienteSP,0.77,0.717
TimóteoMG,0.77,0.737
Presidente Castello BrancoSC,0.77,0.813
Vargem Grande PaulistaSP,0.77,0.755
Tupi PaulistaSP,0.769,0.762
Santa RosaRS,0.769,0.752
Taboão da SerraSP,0.769,0.742
CosmópolisSP,0.769,0.746
São CarlosSC,0.769,0.763
Campo Limpo PaulistaSP,0.769,0.733
SchroederSC,0.769,0.75
GarçaSP,0.769,0.737
Arroio do MeioRS,0.769,0.75
PedreiraSP,0.769,0.75
BarbacenaMG,0.769,0.751
Lucas do Rio VerdeMT,0.768,0.766
ToledoPR,0.768,0.755
Nova VenezaSC,0.768,0.741
Nova Boa VistaRS,0.768,0.764
São LuísMA,0.768,0.741
ResendeRJ,0.768,0.762
São VicenteSP,0.768,0.738
PalotinaPR,0.768,0.76
Três PassosRS,0.768,0.745
São RoqueSP,0.768,0.765
IgarapavaSP,0.768,0.809
BilacSP,0.768,0.743
MaracajáSC,0.768,0.752
Monte AltoSP,0.768,0.746
São MarcosRS,0.768,0.775
Regente FeijóSP,0.768,0.735
Serra NegraSP,0.767,0.764
VotorantimSP,0.767,0.72
Capivari de BaixoSC,0.767,0.724
OrindiúvaSP,0.767,0.719
EstrelaRS,0.767,0.776
AvaréSP,0.767,0.751
Dois VizinhosPR,0.767,0.747
EncantadoRS,0.767,0.764
Novo XinguRS,0.767,0.749
CedralSP,0.766,0.749
PoloniSP,0.766,0.736
MauáSP,0.766,0.721
Nova PrataRS,0.766,0.782
ParnamirimRN,0.766,0.75
SantiagoRS,0.766,0.746
IvatubaPR,0.766,0.718
PeritibaSC,0.766,0.762
Pereira BarretoSP,0.766,0.728
Capivari do SulRS,0.766,0.805
AlumínioSP,0.766,0.729
CarazinhoRS,0.766,0.756
São SimãoSP,0.766,0.732
LorenaSP,0.766,0.736
CatalãoGO,0.766,0.769
ItuveravaSP,0.765,0.768
GuaporéRS,0.765,0.781
AtibaiaSP,0.765,0.786
IbirubáRS,0.765,0.786
ImbitubaSC,0.765,0.734
SuzanoSP,0.765,0.708
GasparSC,0.765,0.77
São DomingosSC,0.765,0.769
EspumosoRS,0.765,0.747
ColinasRS,0.765,0.786
Patos de MinasMG,0.765,0.749
Nova ErechimSC,0.765,0.767
MaricáRJ,0.765,0.761
Nova EuropaSP,0.765,0.718
Santo Antônio do PalmaRS,0.764,0.787
Arroio TrintaSC,0.764,0.781
GramadoRS,0.764,0.783
RondinhaRS,0.764,0.78
Lençóis PaulistaSP,0.764,0.743
Ouro BrancoMG,0.764,0.753
Cerro LargoRS,0.764,0.752
São Valentim do SulRS,0.764,0.776
VideiraSC,0.764,0.772
Cachoeira PaulistaSP,0.764,0.733
ImbéRS,0.764,0.825
MontauriRS,0.764,0.79
RosanaSP,0.764,0.749
MacaéRJ,0.764,0.792
DivinópolisMG,0.764,0.753
Paraíso do TocantinsTO,0.764,0.759
São Domingos do SulRS,0.763,0.78
MedianeiraPR,0.763,0.762
Presidente VenceslauSP,0.763,0.749
São Pedro do ButiáRS,0.763,0.76
GuararapesSP,0.763,0.727
NatalRN,0.763,0.768
João PessoaPB,0.763,0.77
ParanavaíPR,0.763,0.75
ItapetiningaSP,0.763,0.728
Gabriel MonteiroSP,0.763,0.721
Ponta GrossaPR,0.763,0.755
Barra FundaRS,0.763,0.731
Fagundes VarelaRS,0.763,0.773
BuritamaSP,0.763,0.736
GuarulhosSP,0.763,0.746
Paraguaçu PaulistaSP,0.762,0.717
SumaréSP,0.762,0.744
David CanabarroRS,0.762,0.74
Saldanha MarinhoRS,0.762,0.745
ItupevaSP,0.762,0.75
Serranópolis do IguaçuPR,0.762,0.778
Boa Vista do BuricáRS,0.762,0.761
MirassolSP,0.762,0.748
Osvaldo CruzSP,0.762,0.74
ItapiraSP,0.762,0.75
TorresRS,0.762,0.75
São Joaquim da BarraSP,0.762,0.74
MococaSP,0.762,0.756
Santa Cruz do Rio PardoSP,0.762,0.744
São Francisco do SulSC,0.762,0.74
Nova PáduaRS,0.761,0.762
IndianaSP,0.761,0.714
AlfenasMG,0.761,0.737
PanambiRS,0.761,0.752
ItapoáSC,0.761,0.739
Entre Rios do OestePR,0.761,0.778
UmuaramaPR,0.761,0.755
Vila MariaRS,0.761,0.791
Santa Rita D'OesteSP,0.761,0.711
São João do OesteSC,0.761,0.756
TaióSC,0.761,0.749
BatataisSP,0.761,0.766
Conselheiro LafaieteMG,0.761,0.736
Iguaba GrandeRJ,0.761,0.744
ZortéaSC,0.761,0.752
SertãozinhoSP,0.761,0.768
ItaaraRS,0.76,0.761
Sete LagoasMG,0.76,0.742
GoiandiraGO,0.76,0.711
Campinas do SulRS,0.76,0.753
AraranguáSC,0.76,0.745
Santa AdéliaSP,0.76,0.75
TapejaraRS,0.76,0.763
Serafina CorrêaRS,0.76,0.755
TijucasSC,0.76,0.747
JandiraSP,0.76,0.738
Rio NegroPR,0.76,0.721
TaiúvaSP,0.76,0.732
ModeloSC,0.76,0.751
DescalvadoSP,0.76,0.74
Frederico WestphalenRS,0.76,0.754
Porto BeloSC,0.76,0.75
Estrela D'OesteSP,0.76,0.712
Várzea PaulistaSP,0.759,0.72
PenápolisSP,0.759,0.748
Iporã do OesteSC,0.759,0.743
Monte Alegre do SulSP,0.759,0.752
Santo Antônio do PlanaltoRS,0.759,0.701
Nova CandeláriaRS,0.759,0.794
SalvadorBA,0.759,0.772
Cornélio ProcópioPR,0.759,0.746
São LourençoMG,0.759,0.746
Presidente GetúlioSC,0.759,0.764
TaquaralSP,0.759,0.742
CaraguatatubaSP,0.759,0.735
Rio das PedrasSP,0.759,0.741
Três de MaioRS,0.759,0.756
Inúbia PaulistaSP,0.759,0.688
GurupiTO,0.759,0.736
RubinéiaSP,0.759,0.713
Herval D'OesteSC,0.758,0.74
Picada CaféRS,0.758,0.738
São José dos PinhaisPR,0.758,0.749
GuabijuRS,0.758,0.831
Álvares MachadoSP,0.758,0.712
CordeirópolisSP,0.758,0.754
Fernando PrestesSP,0.758,0.746
IguaraçuPR,0.758,0.714
Nova MutumMT,0.758,0.773
João MonlevadeMG,0.758,0.724
Nova LondrinaPR,0.758,0.735
São João Del ReiMG,0.758,0.733
PirajuSP,0.758,0.74
ItaúnaMG,0.758,0.749
MaripáPR,0.758,0.736
Porto FelizSP,0.758,0.737
ColoradoRS,0.758,0.775
Antônio PradoRS,0.758,0.777
Faxinal dos GuedesSC,0.758,0.746
PiratubaSC,0.758,0.736
GravatalSC,0.757,0.726
Santa Rosa de LimaSC,0.757,0.726
Presidente BernardesSP,0.757,0.718
Santo Antônio do AracanguáSP,0.757,0.71
CanoinhasSC,0.757,0.717
DiademaSP,0.757,0.717
VaniniRS,0.757,0.736
Águas de Santa BárbaraSP,0.757,0.744
Dois LajeadosRS,0.757,0.775
Vista GaúchaRS,0.757,0.774
Campo MourãoPR,0.757,0.749
JataíGO,0.757,0.774
PiqueteSP,0.757,0.711
Presidente LucenaRS,0.757,0.727
ColinaSP,0.757,0.72
CachoeirinhaRS,0.757,0.749
Estância VelhaRS,0.757,0.749
ChapadaRS,0.757,0.752
PalhoçaSC,0.757,0.752
Pedro LeopoldoMG,0.757,0.723
IlhabelaSP,0.756,0.739
Balneário PiçarrasSC,0.756,0.745
Nova CastilhoSP,0.756,0.694
JambeiroSP,0.756,0.727
Quinze de NovembroRS,0.756,0.783
ItabiraMG,0.756,0.729
CravinhosSP,0.756,0.737
HortolândiaSP,0.756,0.716
BálsamoSP,0.756,0.746
PirangiSP,0.756,0.735
ContagemMG,0.756,0.745
Fortaleza dos ValosRS,0.756,0.779
PassosMG,0.756,0.741
Coronel FabricianoMG,0.755,0.715
São PedroSP,0.755,0.741
São LudgeroSC,0.755,0.756
SaudadesSC,0.755,0.723
BrodowskiSP,0.755,0.738
AparecidaSP,0.755,0.735
Alto Bela VistaSC,0.755,0.734
RondonópolisMT,0.755,0.749
FormigaMG,0.755,0.729
CianortePR,0.755,0.747
MontenegroRS,0.755,0.761
PongaíSP,0.755,0.727
OrleansSC,0.755,0.749
São José do OuroRS,0.755,0.759
FortalezaCE,0.754,0.749
SinopMT,0.754,0.755
GuabirubaSC,0.754,0.75
BoracéiaSP,0.754,0.723
São VendelinoRS,0.754,0.743
Rio do OesteSC,0.754,0.769
EsteioRS,0.754,0.769
MongaguáSP,0.754,0.719
AnalândiaSP,0.754,0.745
Neves PaulistaSP,0.754,0.737
Vera CruzSP,0.754,0.722
Praia GrandeSP,0.754,0.744
CunhataíSC,0.754,0.777
RodeioSC,0.754,0.769
CorumbataíSP,0.754,0.728
Lauro de FreitasBA,0.754,0.781
Chapadão do SulMS,0.754,0.758
ConstantinaRS,0.754,0.726
Rio VerdeGO,0.754,0.765
RegistroSP,0.754,0.718
Flores da CunhaRS,0.754,0.786
Rancho QueimadoSC,0.753,0.743
IpeúnaSP,0.753,0.737
Palmeira D'OesteSP,0.753,0.72
Salvador das MissõesRS,0.753,0.71
Monte Azul PaulistaSP,0.753,0.733
CongonhasMG,0.753,0.732
TarumãSP,0.753,0.738
Santo AnastácioSP,0.753,0.725
MagdaSP,0.753,0.724
Três FronteirasSP,0.753,0.71
NilópolisRJ,0.753,0.731
MangaratibaRJ,0.753,0.746
Novo HorizonteSP,0.753,0.741
EstaçãoRS,0.753,0.752
GuaíraSP,0.753,0.759
AjuricabaRS,0.753,0.763
GaropabaSC,0.753,0.737
ForquilhinhaSC,0.753,0.754
João NeivaES,0.753,0.751
Nicolau VergueiroRS,0.753,0.772
AracruzES,0.752,0.717
Enéas MarquesPR,0.752,0.767
LagunaSC,0.752,0.715
MarapoamaSP,0.752,0.736
AraguaínaTO,0.752,0.727
Monte Belo do SulRS,0.752,0.752
TatuíSP,0.752,0.734
Três MariasMG,0.752,0.706
TunápolisSC,0.752,0.728
Severiano de AlmeidaRS,0.752,0.738
ItumbiaraGO,0.752,0.744
Primavera do LesteMT,0.752,0.774
WestfaliaRS,0.752,0.796
PranchitaPR,0.752,0.743
XaximSC,0.752,0.737
Boa VistaRR,0.752,0.737
LucéliaSP,0.752,0.728
CapinzalSC,0.752,0.742
MandaguariPR,0.751,0.732
GuaxupéMG,0.751,0.729
NhandearaSP,0.751,0.755
CataguasesMG,0.751,0.718
PinhaisPR,0.751,0.761
Foz do IguaçuPR,0.751,0.748
CambuíMG,0.751,0.722
TeresinaPI,0.751,0.731
IndiaporãSP,0.751,0.714
GuarujáSP,0.751,0.729
Porto FerreiraSP,0.751,0.736
RanchariaSP,0.751,0.72
GuaraciabaSC,0.751,0.754
GuaramirimSC,0.751,0.748
SalesSP,0.751,0.708
OsórioRS,0.751,0.769
UbatubaSP,0.751,0.741
TuriúbaSP,0.751,0.713
Américo BrasilienseSP,0.751,0.709
SertãoRS,0.751,0.746
BastosSP,0.751,0.696
Planalto AlegreSC,0.751,0.731
TapiratibaSP,0.751,0.703
CatiguáSP,0.751,0.734
MirandópolisSP,0.751,0.732
ParanaguáPR,0.75,0.733
CanoasRS,0.75,0.768
Cruz AltaRS,0.75,0.754
Presidente EpitácioSP,0.75,0.714
BaririSP,0.75,0.736
Bom DespachoMG,0.75,0.742
Campo VerdeMT,0.75,0.755
Água SantaRS,0.75,0.84
CapivariSP,0.75,0.744
São João do Pau D'AlhoSP,0.75,0.714
FelizRS,0.75,0.758
União PaulistaSP,0.749,0.697
Campos do JordãoSP,0.749,0.761
Embu-GuaçuSP,0.749,0.713
Oscar BressaneSP,0.749,0.713
BetimMG,0.749,0.709
LaurentinoSC,0.749,0.742
Linha NovaRS,0.749,0.751
ArcosMG,0.749,0.717
São Lourenço do OesteSC,0.749,0.748
Terra RoxaSP,0.749,0.732
Antônio CarlosSC,0.749,0.768
IpuãSP,0.749,0.759
Pareci NovoRS,0.749,0.738
PeruíbeSP,0.749,0.73
Rio Grande da SerraSP,0.749,0.684
ParaísoSP,0.749,0.751
CarapicuíbaSP,0.749,0.721
HarmoniaRS,0.749,0.748
PirajuíSP,0.749,0.734
XavantinaSC,0.749,0.772
Artur NogueiraSP,0.749,0.745
São João de IracemaSP,0.748,0.682
DuartinaSP,0.748,0.716
TanabiSP,0.748,0.735
ItuporangaSC,0.748,0.749
Barra do GarçasMT,0.748,0.738
MondaíSC,0.748,0.728
CanelaRS,0.748,0.738
Nova TrentoSC,0.748,0.749
São João do PolêsineRS,0.748,0.748
MiraselvaPR,0.748,0.694
ApucaranaPR,0.748,0.741
CafelândiaPR,0.748,0.723
CabedeloPB,0.748,0.782
ArapongasPR,0.748,0.751
BarãoRS,0.748,0.767
TaquaritingaSP,0.748,0.727
SananduvaRS,0.747,0.764
Novo HamburgoRS,0.747,0.778
TucunduvaRS,0.747,0.748
Pato BragadoPR,0.747,0.745
CondorRS,0.747,0.735
AstorgaPR,0.747,0.754
FlorealSP,0.747,0.71
DouradosMS,0.747,0.753
IbitingaSP,0.747,0.738
General SalgadoSP,0.747,0.734
Cândido MotaSP,0.747,0.701
São José do InhacoráRS,0.747,0.723
Sud MennucciSP,0.747,0.743
Jandaia do SulPR,0.747,0.741
ConfinsMG,0.747,0.706
PotirendabaSP,0.747,0.737
IturamaMG,0.747,0.73
Cordilheira AltaSC,0.747,0.735
OuvidorGO,0.747,0.721
Nova AuroraGO,0.747,0.703
BrumadinhoMG,0.747,0.761
Nova BassanoRS,0.747,0.778
Governador Celso RamosSC,0.747,0.737
Ribeirão do SulSP,0.747,0.753
TaperaRS,0.747,0.743
CharqueadasRS,0.747,0.726
Alto AlegreRS,0.747,0.756
TeutôniaRS,0.747,0.751
ElisiárioSP,0.747,0.711
Balneário Arroio do SilvaSC,0.746,0.753
Paraíso do NortePR,0.746,0.752
Santa TerezaRS,0.746,0.765
NuporangaSP,0.746,0.73
Valparaíso de GoiásGO,0.746,0.733
Mato LeitãoRS,0.746,0.721
Doutor CamargoPR,0.746,0.704
Getúlio VargasRS,0.746,0.747
UrâniaSP,0.746,0.727
Coqueiros do SulRS,0.746,0.806
MuçumRS,0.746,0.757
ItambéPR,0.746,0.691
BoráSP,0.746,0.712
Cachoeiro de ItapemirimES,0.746,0.733
BelémPA,0.746,0.751
ColatinaES,0.746,0.738
Bady BassittSP,0.746,0.737
PalmitalSP,0.746,0.727
Bom PrincípioRS,0.746,0.751
CapitãoRS,0.746,0.747
Miguel PereiraRJ,0.745,0.74
Campo LargoPR,0.745,0.73
Águas FriasSC,0.745,0.728
ItanhaémSP,0.745,0.716
Campo BomRS,0.745,0.755
BozanoRS,0.745,0.773
IacangaSP,0.745,0.721
RafardSP,0.745,0.722
FloraíPR,0.745,0.739
EchaporãSP,0.745,0.719
UrupêsSP,0.745,0.741
Nova FriburgoRJ,0.745,0.758
PetrópolisRJ,0.745,0.763
Águas de LindóiaSP,0.745,0.725
AgudosSP,0.745,0.705
Américo de CamposSP,0.745,0.715
MairipotabaGO,0.745,0.748
Três RanchosGO,0.745,0.724
JunqueirópolisSP,0.745,0.727
Nova PalmaRS,0.744,0.762
TorrinhaSP,0.744,0.734
UruguaianaRS,0.744,0.722
Três CoraçõesMG,0.744,0.73
Campos de JúlioMT,0.744,0.8
DumontSP,0.744,0.72
SorrisoMT,0.744,0.774
ItápolisSP,0.744,0.738
Pires do RioGO,0.744,0.719
Coronel FreitasSC,0.744,0.732
Bento de AbreuSP,0.744,0.706
LemeSP,0.744,0.729
FormosaGO,0.744,0.726
PerdõesMG,0.744,0.71
Barra do JacaréPR,0.744,0.678
ParacatuMG,0.744,0.704
Santa HelenaPR,0.744,0.738
Coronel BarrosRS,0.744,0.793
SaleteSC,0.744,0.737
Poço das AntasRS,0.744,0.742
BicasMG,0.744,0.726
São ManuelSP,0.744,0.735
MendonçaSP,0.744,0.72
Vista Alegre do AltoSP,0.744,0.726
Três LagoasMS,0.744,0.752
LobatoPR,0.744,0.708
ArealvaSP,0.744,0.718
Rio GrandeRS,0.744,0.752
Santa Cruz da EsperançaSP,0.743,0.719
Nova LuzitâniaSP,0.743,0.705
ImigranteRS,0.743,0.764
JussaraGO,0.743,0.768
Dois IrmãosRS,0.743,0.763
SobradinhoRS,0.743,0.735
Augusto PestanaRS,0.743,0.779
MacaubalSP,0.743,0.72
Capão da CanoaRS,0.743,0.756
PenhaSC,0.743,0.739
DescansoSC,0.743,0.741
PromissãoSP,0.743,0.724
MairinqueSP,0.743,0.721
JacarezinhoPR,0.743,0.734
CaxambuMG,0.743,0.77
Morro ReuterRS,0.743,0.733
GuataparáSP,0.743,0.724
JaguariaívaPR,0.743,0.698
Lindóia do SulSC,0.743,0.747
Mira EstrelaSP,0.743,0.697
MaremaSC,0.743,0.748
MatinhosPR,0.743,0.743
São Jorge do IvaíPR,0.743,0.727
IporáGO,0.743,0.731
PedranópolisSP,0.742,0.698
Barro AltoGO,0.742,0.701
Itapecerica da SerraSP,0.742,0.699
Vila FloresRS,0.742,0.725
Silveira MartinsRS,0.742,0.744
Cachoeira do SulRS,0.742,0.739
VazanteMG,0.742,0.707
LourdesSP,0.742,0.697
IraniSC,0.742,0.715
BocainaSP,0.742,0.741
Tio HugoRS,0.742,0.709
LindóiaSP,0.742,0.722
Nova RamadaRS,0.742,0.752
São MartinhoSC,0.742,0.754
CafelândiaSP,0.742,0.714
AscurraSC,0.742,0.739
Chapadão do CéuGO,0.742,0.748
Bom Sucesso do SulPR,0.742,0.704
Cunha PorãSC,0.742,0.744
MarianaMG,0.742,0.705
DolcinópolisSP,0.742,0.699
Quatro BarrasPR,0.742,0.74
Campos NovosSC,0.742,0.721
Dona EmmaSC,0.742,0.762
JumirimSP,0.741,0.721
Nova Roma do SulRS,0.741,0.794
AnhumasSP,0.741,0.683
BambuíMG,0.741,0.735
Santos DumontMG,0.741,0.688
MotucaSP,0.741,0.685
CarneirinhoMG,0.741,0.749
Ouro PretoMG,0.741,0.721
IçaraSC,0.741,0.732
Dirce ReisSP,0.741,0.686
Cachoeira da PrataMG,0.741,0.689
AgronômicaSC,0.741,0.774
João RamalhoSP,0.741,0.701
CotiporãRS,0.741,0.767
Monte CasteloSP,0.741,0.706
GuaraíTO,0.741,0.724
PejuçaraRS,0.741,0.724
MiguelópolisSP,0.741,0.712
Alfredo MarcondesSP,0.741,0.682
Teodoro SampaioSP,0.741,0.699
São Luiz GonzagaRS,0.741,0.718
Otacílio CostaSC,0.74,0.713
QuirinópolisGO,0.74,0.732
BrotasSP,0.74,0.724
AraminaSP,0.74,0.723
Lagoa SantaGO,0.74,0.733
TiradentesMG,0.74,0.741
IbiráSP,0.74,0.741
MuzambinhoMG,0.74,0.723
MacedôniaSP,0.74,0.705
Porto NacionalTO,0.74,0.699
DelfinópolisMG,0.74,0.702
RifainaSP,0.74,0.713
Santópolis do AguapeíSP,0.74,0.68
Santa Clara do SulRS,0.74,0.747
Salvador do SulRS,0.74,0.75
Nova AlvoradaRS,0.74,0.763
Estiva GerbiSP,0.74,0.716
AraucáriaPR,0.74,0.743
ChopinzinhoPR,0.74,0.74
MercedesPR,0.74,0.708
SabáudiaPR,0.74,0.71
União da VitóriaPR,0.74,0.713
Benedito NovoSC,0.74,0.723
BagéRS,0.74,0.739
Arroio do SalRS,0.74,0.74
Anta GordaRS,0.74,0.742
Almirante Tamandaré do SulRS,0.74,0.732
AlegreteRS,0.74,0.72
TurvoSC,0.74,0.742
São João BatistaSC,0.74,0.739
Estrela do NorteSP,0.74,0.693
São GonçaloRJ,0.739,0.711
São Pedro da SerraRS,0.739,0.748
CatuípeRS,0.739,0.763
São Sebastião do CaíRS,0.739,0.734
Carlos GomesRS,0.739,0.732
Taquaruçu do SulRS,0.739,0.768
Santo AugustoRS,0.739,0.753
UbiratãPR,0.739,0.706
BiguaçuSC,0.739,0.733
GuaiçaraSP,0.739,0.697
EdéiaGO,0.739,0.755
SerraES,0.739,0.72
São José da BarraMG,0.739,0.722
